title,id,hour,minute,second,continent,weather
Los Angeles 4K - Skyscraper Metropolis - Wilshire Boulevard,zfblxgasy-0,1,3,31,,
Los Angeles 4K - Night Drive,8ziL3gjSA5Y,0,55,20,,
San Francisco 4K - Pacific Coast Highway - Scenic Drive,l72z2l_1h9A,2,18,5,,
San Francisco 4K - Night Drive,jJ08h2cgWjI,0,40,28,,
Hollywood 4K - Night Drive,FOlPJiqGwHk,0,49,42,,
San Francisco 4K - Driving Downtown,E7t3QyEfyLA,1,11,18,,
California Wine Country 4K - Scenic Drive,BQjavqQqi-0,1,17,14,,
Beverly Hills 4K - Driving Downtown - USA,Up_hd5OwytE,0,41,18,,
Malibu 4K - Sunset Drive - Billionaire's Beach,AxQXXaZbT-I,0,40,2,,
Charleston 4K - Sunset Drive - South Carolina USA,pW6PyaQz_PI,0,37,30,,
Charlotte 4K - Driving Downtown - North Carolina USA,9d_NEyixBYQ,0,44,20,,
Atlanta 4K - Driving Downtown - Georgia USA,xbqsvhcyu_Y,1,4,40,,
Tokyo 4K - Classic Tokyo Neighborhood - Japan,d115_8Wjpbg,0,37,10,,
Tokyo 4K - Driving Downtown - Central Tokyo - Japan,3waBgn_N22c,0,51,31,,
Sao Paulo 4K - Night Drive,WcjGyIjHLDA,0,43,47,,
Buenos Aires 4K - Driving Downtown - Morning Drive,-TPJot7-HTs,0,49,9,,
Lima 4K - Driving Downtown - Peru,dk-NdzCrxvw,1,8,20,,
Chicago 8K 360° Video - Virtual Reality - Driving Downtown,Gu1D3BnIYZg,0,10,5,,
Hong Kong 4K - Night Drive - Driving Downtown,XaR6qEt-BIY,0,50,7,,
Bangkok 4K - Driving Downtown - Thailand,GuyazY5xtuI,1,3,34,,
Santiago 4K - Driving Downtown - Chile,VMEsuZRIYs0,0,47,31,,
Sao Paulo 4K - Driving Downtown - Brazil,Ic2ERD7kt4o,1,3,50,,
Rio 4K - City Center - Night Drive,fG_idt30MZA,1,10,38,,
Singapore 4K - Skyscraper District - Sunset Drive,AEgrx3Uxfts,0,47,11,,
Lima 4K - Malibu and Santa Monica in South America - Peru,trKeUE41KVY,0,58,4,,
Rio 4K - Copacabana Beach - Morning Drive,_hWCN1yV9TY,0,30,11,,
Sao Paulo 4K - Modern City Center - Driving Downtown - Brazil,39eKuBwiOv0,1,4,18,,
Rio De Janeiro 4K - 2AM Airport Drive - Brazil,KKeVvM_VtwM,0,35,18,,
Santiago 4K - Sunset Drive - Chile,g63DvTXrk_E,0,45,5,,
Buenos Aires 4K - Night Drive - Driving Downtown,75X9vSFCh14,1,22,2,,
Sao Paulo 4K - City Sunrise - Driving Downtown - Brazil,_hptbEVx5eM,1,2,18,,
Tokyo 4K - Shibuya Crossing - Driving Downtown,ZobYWO8JqpY,0,32,37,,
Paris 4K - Classic Paris Streets - Driving Downtown,AdqE7mFQ7Y4,0,37,33,,
Tokyo 4K - Skyscraper District - Morning Drive - Shinjuku,K830yXMiFkY,0,31,38,,
Hong Kong 4K - Morning Skyline Views - Driving Downtown,ULcuZ3Q02SI,0,32,34,,
Toronto 4K - Sunset Drive - Driving Downtown,Zbm0Z6nw5sE,1,12,29,,
Singapore 4K - Night Drive - Driving Downtown,WHX2yx1FD-w,0,57,53,,
Chicago 4K - Sunset Drive - Driving Downtown,3ma3yXXc3V8,1,15,2,,
Tokyo 4K - Driving Downtown - Japan 東京 日本,01E_6NfmQ10,1,3,13,,
Bangkok 4K - Skyline Expressway Sunrise - Driving Downtown,3xTbO0NSuNo,0,34,4,,
Bangkok 4K - Driving Downtown - World's #1 Visited City,4BmxX6Ipxpo,0,36,30,,
Tokyo 4K - Skyline Expressway Sunrise - Rainbow Bridge - Driving Downtown,B8Yyf6WKgaM,0,24,41,,
America's Most Visited National Park! - Fall Colors - Great Smoky Mountains 4K - Scenic Drive,Of5pGj6Obzo,1,28,23,,
Singapore 4K - Driving Downtown - Morning Drive,IpEpTWIDL4Q,1,9,20,,
Tokyo 4K - Beverly Hills of Japan - Driving Downtown - Ginza,ceEE_oYuzS4,0,14,5,,
Tokyo 4K - 2020 Olympics Host - Driving Downtown,z1obnaqPgMA,0,41,22,,
Hong Kong 4K - Morning Drive - Protests Aftermath,qWL3Vw7d7bM,0,31,18,,
Hong Kong 4K - Skyscraper Sunset - Driving Downtown,V8nBZbbJePs,0,34,11,,
London 4K - West End Drive - Driving Downtown - England,H41mBDFrZL8,0,49,19,,
New York City 4K - Brooklyn Skyscraper Drive,aeB020VZSFY,0,36,39,,
Chicago 4K - Chicago's Main Street - Driving Downtown - The Magnificent Mile,wdIu8XdqtWM,0,32,4,,
London 4K - Royal Kensington - Driving Downtown,fV22kGkqxvc,0,37,35,,
Gulf Coast 4K - Scenic Drive - Coastal Sunrise,8SVyB8gNxbg,0,47,11,,
Austin 4K - Downtown Skyscraper Drive - USA,VKouHxAtC5E,0,58,31,,
Texas 4K - Sunrise Drive - Scenic Drive - USA,Aw51cEQ7Mr0,0,56,51,,
New Orleans 4K - World's Longest Bridge - Lake Pontchartrain Causeway,VTMOrwQx99M,0,25,10,,
Boston 4K - Skyscraper District - Driving Downtown,aVaQkKBEvzE,0,57,3,,
